epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3720.89,0.85339,0.54164,1.14956,0.92401,0.86574,0.91918,0.74592,0.94658,0.75877,1.22515,0.00098525,0.00098525,0.00098525
43,3807.36,0.84982,0.54654,1.13902,0.92289,0.85635,0.91394,0.7234,0.99304,0.86065,1.23762,0.0009605,0.0009605,0.0009605
44,3897.23,0.85243,0.54007,1.12896,0.91984,0.86649,0.91465,0.73374,0.96102,0.74258,1.21843,0.00093575,0.00093575,0.00093575
45,3984.64,0.84043,0.53182,1.14545,0.92817,0.86127,0.91733,0.73798,0.95727,0.77257,1.22315,0.000911,0.000911,0.000911
46,4071.22,0.84082,0.53511,1.13846,0.9274,0.86165,0.91795,0.74827,0.93852,0.76627,1.20853,0.00088625,0.00088625,0.00088625
47,4156.03,0.83492,0.53276,1.14529,0.92501,0.86255,0.91845,0.7399,0.96201,0.79338,1.22513,0.0008615,0.0008615,0.0008615
48,4241.37,0.83445,0.53236,1.13422,0.92038,0.86509,0.91377,0.74211,0.94283,0.77357,1.22533,0.00083675,0.00083675,0.00083675
49,4328.65,0.83532,0.53076,1.14275,0.92144,0.86177,0.9145,0.73752,0.93853,0.76459,1.23444,0.000812,0.000812,0.000812
50,4412.62,0.82932,0.51948,1.13276,0.9287,0.8629,0.92225,0.74574,0.95611,0.76057,1.20867,0.00078725,0.00078725,0.00078725
51,4502.03,0.82132,0.52011,1.12267,0.92576,0.86262,0.9192,0.74347,0.93044,0.74629,1.1972,0.0007625,0.0007625,0.0007625
52,4590.06,0.82187,0.51841,1.13408,0.92806,0.86255,0.91835,0.74517,0.95127,0.79996,1.21805,0.00073775,0.00073775,0.00073775
53,4678.74,0.83317,0.52277,1.13371,0.92419,0.86269,0.91858,0.7391,0.96134,0.78479,1.22457,0.000713,0.000713,0.000713
54,4768.1,0.82462,0.52298,1.1197,0.92223,0.86031,0.91832,0.73483,0.95183,0.78713,1.23056,0.00068825,0.00068825,0.00068825
55,4856.98,0.80986,0.51391,1.12859,0.93068,0.85519,0.91929,0.74174,0.95417,0.78425,1.22967,0.0006635,0.0006635,0.0006635
56,4945,0.81172,0.51621,1.13466,0.92303,0.86594,0.91908,0.74239,0.95048,0.74124,1.22225,0.00063875,0.00063875,0.00063875
57,5032.65,0.80908,0.51111,1.12086,0.92493,0.86504,0.92171,0.73881,0.94996,0.74823,1.21039,0.000614,0.000614,0.000614
58,5120.31,0.81115,0.51347,1.12381,0.92762,0.86539,0.91809,0.74275,0.94518,0.75292,1.2094,0.00058925,0.00058925,0.00058925
59,5209.06,0.81223,0.50913,1.12354,0.93172,0.85683,0.91833,0.7494,0.93633,0.78596,1.21083,0.0005645,0.0005645,0.0005645
60,5297.8,0.81235,0.51142,1.12184,0.92301,0.86127,0.91754,0.74198,0.94435,0.77325,1.21752,0.00053975,0.00053975,0.00053975
61,5387.49,0.81212,0.50777,1.13124,0.92842,0.85774,0.91996,0.73677,0.95323,0.77194,1.22807,0.000515,0.000515,0.000515
62,5477.66,0.79659,0.49764,1.11351,0.9271,0.86021,0.91785,0.75017,0.93895,0.77809,1.22454,0.00049025,0.00049025,0.00049025
63,5568.1,0.79415,0.49823,1.11187,0.92738,0.86163,0.91831,0.74577,0.94216,0.77896,1.2262,0.0004655,0.0004655,0.0004655
64,5657.44,0.79225,0.49661,1.10034,0.92353,0.86155,0.91846,0.7484,0.94464,0.78289,1.22209,0.00044075,0.00044075,0.00044075
65,5746.26,0.79645,0.50129,1.11742,0.92604,0.8614,0.92013,0.74777,0.93835,0.73202,1.22022,0.000416,0.000416,0.000416
66,5835.96,0.79092,0.49711,1.11119,0.93322,0.85764,0.91988,0.74605,0.92709,0.76323,1.21166,0.00039125,0.00039125,0.00039125
67,5926.07,0.79158,0.49226,1.11855,0.92818,0.85583,0.92041,0.74844,0.9445,0.77345,1.22048,0.0003665,0.0003665,0.0003665
68,6016.57,0.77764,0.48881,1.11568,0.92509,0.86276,0.92084,0.74939,0.93304,0.78055,1.22074,0.00034175,0.00034175,0.00034175
69,6105.71,0.79528,0.49779,1.11622,0.92049,0.8699,0.91861,0.73944,0.94023,0.75988,1.22095,0.000317,0.000317,0.000317
70,6195.78,0.77907,0.48826,1.11906,0.9276,0.86566,0.92144,0.74741,0.94237,0.75943,1.21932,0.00029225,0.00029225,0.00029225
71,6271.15,0.74709,0.47151,1.14253,0.92695,0.8641,0.91899,0.74685,0.92815,0.76696,1.21173,0.0002675,0.0002675,0.0002675
72,6343.76,0.74639,0.47417,1.13009,0.93181,0.8646,0.92266,0.7564,0.92121,0.74274,1.20963,0.00024275,0.00024275,0.00024275
73,6416.41,0.75553,0.47307,1.12636,0.92956,0.86417,0.92071,0.75168,0.92301,0.75154,1.21659,0.000218,0.000218,0.000218
74,6488.48,0.74223,0.47039,1.1162,0.92568,0.86749,0.92141,0.75305,0.9189,0.74728,1.21928,0.00019325,0.00019325,0.00019325
75,6560.95,0.73853,0.46389,1.12121,0.9297,0.86587,0.92129,0.75355,0.92403,0.74916,1.21555,0.0001685,0.0001685,0.0001685
76,6633.52,0.73714,0.462,1.1176,0.92582,0.86735,0.92132,0.7518,0.92496,0.75459,1.21117,0.00014375,0.00014375,0.00014375
77,6706.59,0.73429,0.46274,1.1246,0.92966,0.86343,0.92191,0.75205,0.92525,0.75693,1.21398,0.000119,0.000119,0.000119
78,6779.12,0.73184,0.45888,1.11614,0.92885,0.86403,0.92096,0.75359,0.92427,0.76325,1.21749,9.425e-05,9.425e-05,9.425e-05
79,6850.78,0.73576,0.45986,1.12544,0.92637,0.86652,0.92135,0.75167,0.92389,0.7665,1.21891,6.95e-05,6.95e-05,6.95e-05
80,6922.28,0.72873,0.45633,1.10963,0.92871,0.86305,0.92078,0.75191,0.92334,0.77581,1.21735,4.475e-05,4.475e-05,4.475e-05
